"Plot Title: 10767837"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10767837, SEN S/N: 10767837)","Coupler Detached (LGR S/N: 10767837)","Coupler Attached (LGR S/N: 10767837)","Host Connected (LGR S/N: 10767837)","Stopped (LGR S/N: 10767837)","End Of File (LGR S/N: 10767837)"
470,08/22/15 08:06:52 AM,33.237,,,,,
471,08/22/15 09:06:52 AM,34.565,,,,,
472,08/22/15 10:06:52 AM,36.795,,,,,
473,08/22/15 11:06:52 AM,37.656,,,,,
474,08/22/15 12:06:52 PM,37.798,,,,,
475,08/22/15 01:06:52 PM,37.321,,,,,
476,08/22/15 02:06:52 PM,37.130,,,,,
477,08/22/15 03:06:52 PM,36.603,,,,,
478,08/22/15 04:06:52 PM,35.928,,,,,
479,08/22/15 05:06:52 PM,34.810,,,,,
480,08/22/15 06:06:52 PM,34.174,,,,,
481,08/22/15 07:06:52 PM,33.978,,,,,
482,08/22/15 08:06:52 PM,33.633,,,,,
483,08/22/15 09:06:52 PM,33.534,,,,,
484,08/22/15 10:06:52 PM,33.534,,,,,
485,08/22/15 11:06:52 PM,33.534,,,,,
486,08/23/15 12:06:52 AM,33.485,,,,,
487,08/23/15 01:06:52 AM,33.485,,,,,
488,08/23/15 02:06:52 AM,33.386,,,,,
489,08/23/15 03:06:52 AM,33.287,,,,,
490,08/23/15 04:06:52 AM,33.237,,,,,
491,08/23/15 05:06:52 AM,33.237,,,,,
492,08/23/15 06:06:52 AM,33.237,,,,,
493,08/23/15 07:06:52 AM,33.287,,,,,
494,08/23/15 08:06:52 AM,33.534,,,,,
495,08/23/15 09:06:52 AM,35.395,,,,,
