Serial Number:20425024 --,,,,,
,,,,,
Date Time - GMT -07:00,"Temp, (*F)",Button Down,Button Up,Host Connect,EOF
8/4/18 1:15,42.11, , , , 
8/4/18 1:30,40.8, , , , 
8/4/18 1:45,39.56, , , , 
8/4/18 2:00,38.56, , , , 
8/4/18 2:15,38.87, , , , 
8/4/18 2:30,40.03, , , , 
8/4/18 2:45,41.03, , , , 
8/4/18 3:00,41.96, , , , 
8/4/18 3:15,42.57, , , , 
8/4/18 3:30,41.26, , , , 
8/4/18 3:45,39.95, , , , 
8/4/18 4:00,38.71, , , , 
8/4/18 4:15,38.48, , , , 
8/4/18 4:30,39.79, , , , 
8/4/18 4:45,40.64, , , , 
8/4/18 5:00,41.57, , , , 
8/4/18 5:15,42.34, , , , 
8/4/18 5:30,41.11, , , , 
8/4/18 5:45,39.72, , , , 
8/4/18 6:00,38.4, , , , 
8/4/18 6:15,38.94, , , , 
8/4/18 6:30,39.95, , , , 
8/4/18 6:45,40.88, , , , 
8/4/18 7:00,41.65, , , , 
8/4/18 7:15,41.18, , , , 
8/4/18 7:30,39.72, , , , 
8/4/18 7:45,38.4, , , , 
8/4/18 8:00,38.33, , , , 
8/4/18 8:15,39.64, , , , 
